Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Deon Hemmings,2000,0,2,0
Robert Korzeniowski,2000,2,0,0
Tayna Lawrence,2000,0,2,0
Beverly McDonald,2000,0,1,1
Merlene Ottey-Page,2000,0,1,1
Irina Privalova,2000,1,0,1
Gabriela Szabo,2000,1,0,1
Gete Wami,2000,0,1,1
Elisabeth Görgl,2010,0,0,2
Lindsey Kildow-Vonn,2010,1,0,1
Ivica Kostelic,2010,0,2,0
Julia Mancuso,2010,0,2,0
Tina Maze,2010,0,2,0
Maria Riesch,2010,2,0,0
Michaela Dorfmeister,2006,2,0,0
Janica Kostelic,2006,1,1,0
Hermann Maier,2006,0,1,1
Benjamin Raich,2006,2,0,0
Marlies Schild,2006,0,1,1
Rainer Schönfelder,2006,0,0,2
Kjetil André Aamodt,2002,2,0,0
Renate Götschl,2002,0,1,1
Lasse Kjus,2002,0,1,1
Bode Miller,2002,0,2,0
Anja Pärson,2002,0,1,1
Benjamin Raich,2002,0,0,2
Ki Bo-Bae,2012,2,0,0
Oh Jin-Hyek,2012,1,0,1
Park Gyeong-Mo,2008,1,1,0
Park Seong-Hyeon,2008,1,1,0
Yun Ok-Hui,2008,1,0,1
Zhang Juanjuan,2008,1,1,0
Lee Seong-Jin,2004,1,1,0
Park Seong-Hyeon,2004,2,0,0
Kim Nam-Sun,2000,1,1,0
Kim Su-Nyeong,2000,1,0,1
Vic Wunderle,2000,0,1,1
Yun Mi-Jin,2000,2,0,0
Artur Aleksanyan,2012,0,0,1
Valeriy Andriitsev,2012,0,1,0
Rövs?n Bayramov,2012,0,1,0
Jordan Burroughs,2012,1,0,0
Clarissa Chun,2012,0,0,1
Yogeshwar Dutt,2012,0,0,1
Jaime Espinal,2012,0,1,0
Johan Eurén,2012,0,0,1
Karam Gaber,2012,0,1,0
Daniyal Gadzhiyev,2012,0,0,1
Komeil Ghasemi,2012,0,0,1
Giorgi Gogshelidze,2012,0,0,1
Sadegh Goudarzi,2012,0,1,0
Steeve Guénot,2012,0,0,1
Carol Huynh,2012,0,0,1
Kaori Icho,2012,1,0,0
Damian Janikowski,2012,0,0,1
Jing Ruixue,2012,0,1,0
Arsen Julfalakyan,2012,0,1,0
Riza Kayaalp,2012,0,0,1
Aleksandras Kazakevicius,2012,0,0,1
Vladimer Khinchegashvili,2012,0,1,0
Alan Khugayev,2012,1,0,0
Kim Hyeon-Wu,2012,1,0,0
Besik Kudukhov,2012,0,1,0
Sushil Kumar,2012,0,1,0
Zaur Kuramagomedov,2012,0,0,1
Ehsan Naser Lashgari,2012,0,0,1
Revaz Lashkhi,2012,0,1,0
Jimmy Lidberg,2012,0,0,1
Liván López,2012,0,0,1
Mijaín López,2012,1,0,0
Tamás Lorincz,2012,0,1,0
Bilyal Makhov,2012,0,0,1
Gyuzel Manyurova,2012,0,0,1
Dato Marsagishvili,2012,0,0,1
Ryutaro Matsumoto,2012,0,0,1
Péter Módos,2012,0,0,1
Davit Modzmanashvili,2012,0,1,0
Heiki Nabi,2012,0,1,0
Omid Noroozi,2012,1,0,0
Hitomi Obara,2012,1,0,0
Dzhamal Otarsultanov,2012,1,0,0
Xetaq Qazyumov,2012,0,0,1
